0;annees;regions;ensoleillement ;Précipitations;;;;;;;;;;;;;;;;;;;;;;;
81;2010;Lorraine;65;126;;;;;;;;;;;;;;;;;;;;;;;
82;2010;Midi-Pyrénées;107;48;;;;;;;;;;;;;;;;;;;;;;;
83;2010;Nord-Pas-de-Calais;65;114;;;;;;;;;;;;;;;;;;;;;;;
84;2010;Pays de la Loire;84;100;;;;;;;;;;;;;;;;;;;;;;;
85;2010;Picardie;67;112;;;;;;;;;;;;;;;;;;;;;;;
86;2010;Poitou-Charentes;95;121;;;;;;;;;;;;;;;;;;;;;;;
87;2010;Provence-Alpes-Côte-d'Azur;110;87;;;;;;;;;;;;;;;;;;;;;;;
88;2010;Rhône-Alpes;84;108;;;;;;;;;;;;;;;;;;;;;;;
89;2009;Alsace;76;118;;;;;;;;;;;;;;;;;;;;;;;
90;2009;Aquitaine;94;116;;;;;;;;;;;;;;;;;;;;;;;
91;2009;Auvergne;92;100;;;;;;;;;;;;;;;;;;;;;;;
92;2009;Basse Normandie;80;122;;;;;;;;;;;;;;;;;;;;;;;
93;2009;Bourgogne;85;105;;;;;;;;;;;;;;;;;;;;;;;
94;2009;Bretagne;81;123;;;;;;;;;;;;;;;;;;;;;;;
95;2009;Centre;86;106;;;;;;;;;;;;;;;;;;;;;;;
96;2009;Champagne-Ardenne;70;106;;;;;;;;;;;;;;;;;;;;;;;
97;2009;Corse;123;65;;;;;;;;;;;;;;;;;;;;;;;
98;2009;Franche-Comté;77;119;;;;;;;;;;;;;;;;;;;;;;;
99;2009;Haute Normandie;70;117;;;;;;;;;;;;;;;;;;;;;;;
100;2009;Ile-de-France;71;105;;;;;;;;;;;;;;;;;;;;;;;
101;2009;Languedoc-Roussillon;107;58;;;;;;;;;;;;;;;;;;;;;;;
102;2009;Limousin;85;107;;;;;;;;;;;;;;;;;;;;;;;
103;2009;Lorraine;75;117;;;;;;;;;;;;;;;;;;;;;;;
104;2009;Midi-Pyrénées;108;59;;;;;;;;;;;;;;;;;;;;;;;
105;2009;Nord-Pas-de-Calais;71;118;;;;;;;;;;;;;;;;;;;;;;;
106;2009;Pays de la Loire;82;121;;;;;;;;;;;;;;;;;;;;;;;
